"Município";"Feminino  ";"Masculino ";"Total"
"Angra dos Reis";"91394";"87726";"179120"
"Aperibé";"5859";"5561";"11420"
"Araruama";"71890";"65883";"137773"
"Areal";"6212";"6024";"12236"
"Armação dos Búzios";"21329";"21113";"42442"
"Arraial do Cabo";"16976";"15818";"32794"
"Barra do Piraí";"52008";"46493";"98501"
"Barra Mansa";"95037";"86651";"181688"
"Belford Roxo";"268367";"249896";"518263"
"Bom Jardim";"14997";"14739";"29736"
"Bom Jesus do Itabapoana";"19226";"17946";"37172"
"Cabo Frio";"123431";"114735";"238166"
"Cachoeiras de Macacu";"30449";"29388";"59837"
"Cambuci";"7547";"7523";"15070"
"Campos dos Goytacazes";"269810";"249201";"519011"
"Cantagalo";"10199";"9797";"19996"
"Carapebus";"7112";"7213";"14325"
"Cardoso Moreira";"6789";"6614";"13403"
"Carmo";"9089";"8651";"17740"
"Casimiro de Abreu";"25116";"23447";"48563"
"Comendador Levy Gasparian";"4682";"4362";"9044"
"Conceição de Macabu";"11008";"10761";"21769"
"Cordeiro";"11231";"10213";"21444"
"Duas Barras";"5735";"5619";"11354"
"Duque de Caxias";"451688";"414659";"866347"
"Engenheiro Paulo de Frontin";"6596";"6052";"12648"
"Guapimirim";"27748";"26552";"54300"
"Iguaba Grande";"15555";"14022";"29577"
"Itaboraí";"124125";"115915";"240040"
"Itaguaí";"63218";"60762";"123980"
"Italva";"7432";"7085";"14517"
"Itaocara";"12154";"11489";"23643"
"Itaperuna";"55159";"52087";"107246"
"Itatiaia";"16776";"15918";"32694"
"Japeri";"49099";"53050";"102149"
"Laje do Muriaé";"3836";"3748";"7584"
"Macaé";"135852";"128286";"264138"
"Macuco";"2870";"2731";"5601"
"Magé";"125136";"118956";"244092"
"Mangaratiba";"22063";"21561";"43624"
"Maricá";"109639";"102347";"211986"
"Mendes";"9505";"8544";"18049"
"Mesquita";"94398";"84405";"178803"
"Miguel Pereira";"14796";"13327";"28123"
"Miracema";"14630";"13781";"28411"
"Natividade";"7959";"7591";"15550"
"Nilópolis";"82376";"73168";"155544"
"Niterói";"278069";"238651";"516720"
"Nova Friburgo";"105364";"97964";"203328"
"Nova Iguaçu";"439376";"403670";"843046"
"Paracambi";"22603";"21053";"43656"
"Paraíba do Sul";"23443";"21024";"44467"
"Paraty";"23999";"23615";"47614"
"Paty do Alferes";"16113";"15232";"31345"
"Petrópolis";"155392";"139591";"294983"
"Pinheiral";"12928";"12157";"25085"
"Piraí";"14978";"14076";"29054"
"Porciúncula";"8961";"8871";"17832"
"Porto Real";"10839";"10225";"21064"
"Quatis";"7335";"6823";"14158"
"Queimados";"77505";"71588";"149093"
"Quissamã";"11872";"11254";"23126"
"Resende";"70981";"66631";"137612"
"Rio Bonito";"30431";"28682";"59113"
"Rio Claro";"9141";"8809";"17950"
"Rio das Flores";"4768";"4496";"9264"
"Rio das Ostras";"87417";"80682";"168099"
"Rio de Janeiro";"3580277";"3149617";"6729894"
"Santa Maria Madalena";"5264";"5315";"10579"
"Santo Antônio de Pádua";"22378";"21308";"43686"
"São Fidélis";"20721";"20476";"41197"
"São Francisco de Itabapoana";"23697";"23671";"47368"
"São Gonçalo";"506119";"454533";"960652"
"São João da Barra";"19755";"18953";"38708"
"São João de Meriti";"244195";"222341";"466536"
"São José de Ubá";"3713";"3602";"7315"
"São José do Vale do Rio Preto";"11497";"11302";"22799"
"São Pedro da Aldeia";"56764";"53792";"110556"
"São Sebastião do Alto";"4043";"3956";"7999"
"Sapucaia";"9264";"9025";"18289"
"Saquarema";"48928";"46273";"95201"
"Seropédica";"43649";"41088";"84737"
"Silva Jardim";"11117";"10909";"22026"
"Sumidouro";"7666";"8024";"15690"
"Tanguá";"16795";"16063";"32858"
"Teresópolis";"92073";"84619";"176692"
"Trajano de Moraes";"5261";"5391";"10652"
"Três Rios";"43101";"39199";"82300"
"Valença";"37514";"33948";"71462"
"Varre-Sai";"5125";"5434";"10559"
"Vassouras";"18923";"16981";"35904"
"Volta Redonda";"147605";"132293";"279898"
"Total";"9035062";"8184617";"17219679"
