""""",""code_muni"",""name_muni"",""TxMFAG23"",""TxMNDC23"",""TxMPADR23"",""TxMMVP23"",""TxMPMDPNN23"",""TxMCEPP23"",""TxFNM23"",""TxMAT23"",""TxMLAP23"",""TxMDAF23"",""PMDCv23"",""PMCMD23"""
"""1"",3300100,""Angra dos Reis"",29.513034923758,0.464468183929401,69.6702275894101,61.8405072035834,8.36042731072921,45.6839782945391,103.842159916926,19.4992590281569,6.12833855170646,37.8842746832763,1,0"
"""2"",3300159,""Aperibé"",34.2935528120713,0,133.928571428571,61.560109049336,0,35.1772051710492,68.5871056241427,17.5886025855246,17.5886025855246,17.5886025855246,0,0"
"""3"",3300209,""Araruama"",52.0152390592271,1.32275132275132,82.6719576719577,59.3824228028504,4.62962962962963,41.7876308612651,137.770092643358,12.4629776252896,10.2636286325914,27.1253042432773,0,0"
"""4"",3300225,""Areal"",64.609917622355,0,75.6302521008403,73.764445537251,8.40336134453782,16.392099008278,129.21983524471,0,8.196049504139,8.196049504139,0,0"
"""5"",3300233,""Armação dos Búzios"",77.1418928691963,0,61.7696160267112,48.4531337064225,10.016694490818,43.6078203357802,106.070102695145,24.2265668532112,12.1132834266056,9.69062674128449,0,0"
"""6"",3300258,""Arraial do Cabo"",83.2441431799263,0,66.6666666666667,58.4291776862046,7.69230769230769,33.8274186604342,118.920204542752,6.15043975644259,6.15043975644259,15.3760993911065,0,0"
"""7"",3300308,""Barra do Piraí"",57.569419124561,0,93.9289805269187,58.7460751544617,5.72737686139748,27.3473108477666,138.166605898946,7.09004355312468,6.07718018839259,10.128633647321,1,0"
"""8"",3300407,""Barra Mansa"",63.9761714980912,0,97.6608187134503,70.7298885867181,6.4327485380117,42.7669093780156,114.318076939212,15.3522238792877,5.48293709974559,37.8322659882446,1,0"
"""9"",3300456,""Belford Roxo"",34.6615283125054,0,52.1252405107574,24.8926624535675,9.0956795522127,38.2073423705919,92.0580375611701,7.13975589753485,2.7015292585267,17.9458729316417,0,0"
"""10"",3300506,""Bom Jardim"",26.8781077812122,0,135.135135135135,64.3304553919079,24.024024024024,30.4723209751143,141.110065851364,20.3148806500762,20.3148806500762,23.7006940917555,0,0"
