""""",""code_muni"",""name_muni"",""TxMFAG23"",""TxMNDC23"",""TxMPADR23"",""TxMMVP23"",""TxMPMDPNN23"",""TxMCEPP23"",""TxFNM23"",""TxMAT23"",""TxMLAP23"",""TxMDAF23"",""PMDCv23"",""PMCMD23"""
"""1"",3300100,""Angra dos Reis"",2.9513034923758,0.464468183929401,69.6702275894101,6.18405072035834,8.36042731072921,4.56839782945391,10.3842159916926,1.94992590281569,0.612833855170646,3.78842746832763,1,0"
"""2"",3300159,""Aperibé"",3.42935528120713,0,133.928571428571,6.1560109049336,0,3.51772051710492,6.85871056241427,1.75886025855246,1.75886025855246,1.75886025855246,0,0"
"""3"",3300209,""Araruama"",5.20152390592271,1.32275132275132,82.6719576719577,5.93824228028504,4.62962962962963,4.17876308612651,13.7770092643358,1.24629776252896,1.02636286325914,2.71253042432773,0,0"
"""4"",3300225,""Areal"",6.4609917622355,0,75.6302521008403,7.3764445537251,8.40336134453782,1.6392099008278,12.921983524471,0,0.8196049504139,0.8196049504139,0,0"
"""5"",3300233,""Armação dos Búzios"",7.71418928691963,0,61.7696160267112,4.84531337064225,10.016694490818,4.36078203357802,10.6070102695145,2.42265668532112,1.21132834266056,0.969062674128449,0,0"
"""6"",3300258,""Arraial do Cabo"",8.32441431799263,0,66.6666666666667,5.84291776862046,7.69230769230769,3.38274186604342,11.8920204542752,0.615043975644259,0.615043975644259,1.53760993911065,0,0"
"""7"",3300308,""Barra do Piraí"",5.7569419124561,0,93.9289805269187,5.87460751544617,5.72737686139748,2.73473108477666,13.8166605898946,0.709004355312468,0.607718018839259,1.0128633647321,1,0"
"""8"",3300407,""Barra Mansa"",6.39761714980912,0,97.6608187134503,7.07298885867181,6.4327485380117,4.27669093780156,11.4318076939212,1.53522238792877,0.548293709974559,3.78322659882446,1,0"
"""9"",3300456,""Belford Roxo"",3.46615283125054,0,52.1252405107574,2.48926624535675,9.0956795522127,3.82073423705919,9.20580375611701,0.713975589753485,0.27015292585267,1.79458729316417,0,0"
"""10"",3300506,""Bom Jardim"",2.68781077812122,0,135.135135135135,6.43304553919079,24.024024024024,3.04723209751143,14.1110065851364,2.03148806500762,2.03148806500762,2.37006940917555,0,0"
"""11"",3300605,""Bom Jesus do Itabapoana"",2.5999688003744,1.95694716242661,150.684931506849,5.11178670397374,3.91389432485323,2.42137264925072,8.31990016119807,1.34520702736151,0.269041405472302,0.538082810944604,1,0"
"""12"",3300704,""Cabo Frio"",3.53101545435136,0.393700787401575,72.4409448818898,5.18855286157196,7.08661417322835,3.31727150166076,10.7572796400007,0.850582436323272,0.382762096345473,1.95633960354353,1,0"
"""13"",3300803,""Cachoeiras de Macacu"",3.29424166556859,0,116.86143572621,4.18865711652844,3.33889816360601,5.02638853983413,11.8592699960469,2.51319426991706,1.17282399262796,2.6807405545782,1,0"
"""14"",3300902,""Cambuci"",11.9157950483252,0,130.769230769231,7.94596742153357,0,1.98649185538339,18.5356811862836,1.32432790358893,0.662163951794464,0.662163951794464,0,0"
"""15"",3300936,""Carapebus"",0.186031975175893,0,100,0.0773736295195871,14.2857142857143,0.154747259039174,0.297651160281429,0.135403851659277,0.0193434073798968,0.0773736295195871,0,0"
"""16"",3300951,""Comendador Levy Gasparian"",0.978760888714887,0,72.0720720720721,3.99042298483639,36.036036036036,0.498802873104549,6.85132622100421,0.498802873104549,0,0,1,0"
"""17"",3301009,""Campos dos Goytacazes"",160.721838432257,0.319897632757518,101.727447216891,258.668903803132,8.95713371721049,123.741610738255,470.886789792753,75.503355704698,25.8668903803132,80.3970917225951,1,0"
"""18"",3301108,""Cantagalo"",10.3443180138909,0,112.14953271028,8.22306944755924,4.67289719626168,2.99020707183973,19.2108763115117,1.49510353591986,1.49510353591986,0,1,0"
"""19"",3301157,""Cardoso Moreira"",5.49390176903637,0,148.148148148148,6.75219446320054,14.8148148148148,1.68804861580014,6.59268212284364,1.68804861580014,1.12536574386676,0,1,0"
"""20"",3301207,""Carmo"",0.406371911573472,0,147.783251231527,3.56955380577428,4.92610837438424,0.83989501312336,3.25097529258778,0,0.41994750656168,0.20997375328084,1,0"
"""21"",3301306,""Casimiro de Abreu"",10.7319167203263,0,51.2820512820513,34.398579671549,5.91715976331361,15.5348424323125,64.3915003219575,4.43852640923213,1.10963160230803,7.76742121615624,0,0"
"""22"",3301405,""Conceição de Macabu"",5.44316429284224,0,96.9162995594714,4.58799779776106,13.215859030837,3.21159845843274,12.7007166832986,0,1.83519911910442,1.83519911910442,1,0"
"""23"",3301504,""Cordeiro"",3.56315695706396,0,64.7773279352227,3.730821247027,8.09716599190283,1.39905796763513,12.4710493497239,1.39905796763513,1.39905796763513,0.93270531175675,1,0"
"""24"",3301603,""Duas Barras"",1.74398325776073,0,61.4035087719298,5.28308532182795,8.7719298245614,2.64154266091397,17.4398325776073,1.76102844060932,3.52205688121863,0,1,0"
"""25"",3301702,""Duque de Caxias"",4.03049964980905,0.191113234591495,72.6230291447683,5.92376255355495,7.83564261825131,4.72982591485395,12.8843841264388,0.631408799313027,0.470686559487893,1.29725807858858,1,0"
"""26"",3301801,""Engenheiro Paulo de Frontin"",9.06070673512534,0,147.058823529412,7.87339579560664,7.35294117647059,1.57467915912133,22.6517668378133,0.787339579560664,0,1.57467915912133,1,0"
"""27"",3301850,""Guapimirim"",4.32416849843249,0,87.893864013267,5.33853687272192,13.2669983416252,3.4976620890247,10.8104212460812,2.5772246971761,0.552262435109164,2.5772246971761,1,0"
"""28"",3301876,""Iguaba Grande"",5.22875816993464,3.02114803625378,102.719033232628,2.74791330333528,6.04229607250755,5.49582660667056,24.8366013071895,1.71744581458455,1.03046748875073,4.12186995500292,1,0"
"""29"",3301900,""Itaboraí"",4.27899015832264,1.14111829593001,70.7493343476607,6.05074278083792,7.98782807151008,6.05074278083792,12.0296138413221,2.29510933066266,0.584209647805041,3.17142380237022,1,0"
"""30"",3302007,""Itaguaí"",4.9146281528925,0.644329896907217,73.4536082474227,7.59135877246113,4.51030927835052,4.28023420149404,12.0487657941881,1.53442358166768,0.646073087017969,2.0997375328084,0,0"
"""31"",3302056,""Italva"",6.72404518558365,7.40740740740741,81.4814814814815,11.7039586919105,7.40740740740741,2.06540447504303,9.41366325981711,1.37693631669535,0.688468158347676,2.06540447504303,1,0"
"""32"",3302106,""Itaocara"",8.22165584148648,0,133.858267716535,8.02805594287404,0,1.69011704060506,14.7989805146757,3.38023408121012,0.845058520302531,0,1,0"
"""33"",3302205,""Itaperuna"",4.73011079374898,0.937207122774133,121.836925960637,8.51533696404843,6.56044985941893,2.99440420713791,10.5517856168246,1.59077723504202,0.561450788838358,2.90082907566485,1,0"
"""34"",3302254,""Itatiaia"",4.19412822049131,2.80112044817927,56.0224089635854,7.06583515099383,14.0056022408964,2.15047156769377,13.1815458358298,0.614420447912506,0.307210223956253,2.45768179165003,0,0"
"""35"",3302270,""Japeri"",3.45184673800483,0,66.9856459330144,6.94403693054007,13.3971291866029,3.4231167967451,7.30979309224553,1.07583670754846,0.29341001114958,1.85826340394734,0,0"
